file,type,detail,chars,jsBytes,dynamic,readMin,h2,h3,p,avgPara,maxPara,avgSentence,pre,table,svg,img,box,details,quiz,quizExplainAvg,formula,keyPoint,summary,think,metaN,metaDensity,exN,exDensity,calcN,metaWords,exWords
00_3D解剖/人形机器人解剖式知识可视化.html,lab,实验室页,7027,92874,1,17.6,0,0,0,0,0,67,0,7,0,0,0,0,12,251,0,0,0,0,0,0,0,0,0,,
00_3D解剖/关节执行器内部原理3D实验室.html,knowledge,动态渲染页,2810,21220,1,7,2,0,1,138,138,64,0,0,0,0,3,0,7,110,0,1,0,1,0,0,0,0,0,,
00_3D解剖/减速器剖面图详解.html,knowledge,动态渲染页,6808,10830,1,17,6,0,3,92,159,67,0,3,3,0,2,0,13,154,0,1,0,0,1,0.15,4,0.59,3,相当于,例如/算例
00_3D解剖/电机编码器与灵巧手3D拆解.html,knowledge,动态渲染页,5363,37719,1,13.4,3,0,1,105,105,62,0,0,0,0,7,0,14,133,0,1,1,1,0,0,0,0,0,,
01_理论入门/01_整体知识框架_思维导图.html,knowledge,偏薄,4424,600,0,11.1,3,0,2,97,148,94,0,0,0,0,4,0,8,72,0,1,1,1,0,0,0,0,0,,
01_理论入门/02_核心原理动画演示_FOC_三环_减速器.html,knowledge,动态渲染页,4645,45061,1,11.6,3,0,2,130,188,60,0,0,0,0,4,0,14,97,0,1,1,1,0,0,0,0,0,,
01_理论入门/03_驱动电路模块认知_交互式图解.html,knowledge,动态渲染页,3994,24964,1,10,4,6,2,70,95,74,0,1,1,0,8,0,9,87,0,1,1,1,0,0,0,0,0,,
01_理论入门/04_机械原理基础_连杆齿轮传动.html,knowledge,适中,15173,3246,0,37.9,11,18,26,163,1073,73,10,6,0,0,10,0,17,151,0,1,1,1,1,0.07,15,0.99,14,想象,算例/比如
01_理论入门/05_运动学基础_正逆运动学与DH参数.html,knowledge,适中,12574,11568,0,31.4,11,21,35,153,477,92,17,5,0,0,8,0,7,130,3,1,1,1,0,0,6,0.48,2,,比如/算例/示例
01_理论入门/06_控制数学工具箱.html,knowledge,偏薄,3693,5413,0,9.2,6,0,4,86,181,55,0,1,0,0,6,0,6,101,2,1,1,1,0,0,0,0,0,,
02_硬件基础/04_硬件设计通用要点_避坑指南.html,knowledge,适中,17045,473,0,42.6,9,26,10,68,112,88,0,8,1,0,8,0,10,112,0,1,1,1,0,0,1,0.06,1,,算例
02_硬件基础/05_参考资料汇总_视频_开源项目.html,knowledge,适中,13995,482,0,35,11,6,1,65,65,91,0,3,0,0,8,0,8,125,0,1,1,1,1,0.07,9,0.64,0,相当于,实战/示例
02_硬件基础/06_硬件原理图与PCB学习页_X1与Hdrive.html,knowledge,适中,7916,464,0,19.8,7,5,5,86,150,130,0,4,0,0,7,0,9,85,0,1,1,1,0,0,1,0.13,0,,实战
02_硬件基础/07_电机选型计算专题.html,knowledge,适中,13813,1908,0,34.5,11,15,20,258,962,66,9,5,0,0,14,0,14,122,0,1,1,1,0,0,14,1.01,12,,算例/代入数值/实例/实战
02_硬件基础/08_热管理与散热设计专题.html,knowledge,适中+段落过长,12888,2130,0,32.2,11,15,20,266,1187,71,5,5,0,0,16,0,7,103,0,1,1,1,4,0.31,8,0.62,8,类比,算例
02_硬件基础/09_FOC驱动器硬件深挖.html,knowledge,适中+段落过长,20708,477,0,51.8,12,34,24,303,1532,76,5,10,0,0,11,0,18,128,0,1,1,1,1,0.05,8,0.39,4,相当于,示例/实战/算例/实例
02_硬件基础/10_传感器专题_IMU力矩与触觉.html,knowledge,适中+段落过长,15196,686,0,38,10,24,9,306,1269,67,3,9,0,0,13,0,10,97,0,1,1,1,1,0.07,4,0.26,0,相当于,例如/比如/示例
02_硬件基础/11_FOC调参整定实战手册.html,knowledge,适中,6435,2316,0,16.1,8,2,9,129,243,68,0,3,0,0,6,0,11,114,2,1,1,1,0,0,4,0.62,2,,实战/算例
